message_id,market,language,category,intent,secondary_intents,priority,route,assigned_team,secondary_teams,auto_response_policy,auto_response_template_id,human_review_required,risk_flags,reason_codes,model_eligibility,model_bypass_reason,market_framework_status,market_overlay_codes,related_message_ids,first_contact_message_id,previous_contact_count,attachment_received,attachment_referenced,identity_document_referenced,required_context,short_rationale
M17,India,en,Technical & Game Issues,mobile_app_crash,,medium,human,Technical Support,Market Compliance,acknowledgment_only,,True,app_crash;device_context,TECHNICAL_APP_FAILURE;INDIA_MARKET_OVERLAY,eligible,,prohibited_market,INDIA_PROHIBITED_MARKET,,,0,False,False,False,app_version;device_os;error_logs,Technical issue is primary; India market warning may be retained separately.
M18,Malta,en,Payments & Withdrawals,withdrawal_delay,,medium,human,Payments Operations,Platform Security,acknowledgment_only,,True,withdrawal_pending;prompt_injection_detected,WITHDRAWAL_DELAY;PROMPT_INJECTION_DETECTED;MODEL_BYPASSED_UNTRUSTED_INPUT,bypass_untrusted_input,prompt_injection_detected,established,,,,0,False,False,False,withdrawal_status;payment_provider_status,The underlying first-contact withdrawal issue is medium priority; the embedded classifier instruction is isolated as an application-security flag.
M19,New Zealand,en,KYC & Verification,proof_of_address_requirements,,low,auto_respond,KYC Operations,,allowed_template,FAQ_PROOF_OF_ADDRESS,False,static_document_requirements,STATIC_KYC_DOCUMENT_FAQ,eligible,,transitional,NZ_TRANSITIONAL_FRAMEWORK,,,0,False,False,False,approved_kyc_document_template,General proof-of-address alternatives can use an approved KYC checklist.
M20,Ontario,en,Bonuses & Promotions,advertised_bonus_eligibility_dispute,,medium,human,Promotions,Market Compliance,acknowledgment_only,,True,advertising_claim;market_eligibility;account_specific,PROMO_ELIGIBILITY_REVIEW,eligible,,established,,,,0,False,False,False,advertisement_version;market_eligibility;account_signup_date;promotion_terms_version,Promotional eligibility is account-specific and requires human review; it is not a formal complaint on the supplied wording.
M21,Malta,en,Responsible Gambling,remove_active_cool_off,,high,specialist,Responsible Gambling,,acknowledgment_only,,True,cool_off_active;early_removal_requested,RG_ACTIVE_COOL_OFF_REMOVAL,bypass_deterministic,active_protective_control,established,,,,0,False,False,False,active_control_type;control_start_at;control_expiry_at,An active break must not be removed through routine support or auto-response.
M22,India,en,Payments & Withdrawals,withdrawal_delay,,medium,human,Payments Operations,Market Compliance,acknowledgment_only,,True,multilingual;withdrawal_pending,WITHDRAWAL_DELAY;INDIA_MARKET_OVERLAY,eligible,,prohibited_market,INDIA_PROHIBITED_MARKET,,,0,False,False,False,withdrawal_status;withdrawal_requested_at;payment_provider_status,A three-day withdrawal-status request is medium priority; India status remains a separate market overlay and does not replace the payment category.
M23,Malta,de,Responsible Gambling,explicit_permanent_self_exclusion,,critical,specialist,Responsible Gambling,,acknowledgment_only,,True,self_exclusion_explicit;permanent;german_language,RG_EXPLICIT_SELF_EXCLUSION,bypass_deterministic,explicit_self_exclusion,established,,,,0,False,False,False,responsible_gambling_account_action_queue,Explicit German permanent self-exclusion must be recognized without translation delay.
M24,Ireland,en,General,forgot_username_routine_recovery,,low,auto_respond,General Support,,allowed_template,FAQ_USERNAME_RECOVERY,False,routine_account_recovery;registered_email_available,STATIC_ACCOUNT_RECOVERY_FAQ,eligible,,casino_applicability_unconfirmed,IRELAND_CASINO_APPLICABILITY_UNCONFIRMED,,,0,False,False,False,approved_username_recovery_template,Routine username recovery with control of the registered email; no compromise signal.
M25,Ontario,en,Complaints & Regulatory,formal_withdrawal_complaint,withdrawal_delay,high,specialist,Complaints,Payments Operations;Market Compliance,acknowledgment_only,,True,formal_complaint;repeat_contact;regulator_mentioned;player_deadline;large_amount,FORMAL_COMPLAINT;EXTERNAL_BODY_MENTIONED,eligible,,established,,,,0,False,True,False,related_contacts;withdrawal_status;complaint_received_at;published_service_standard,Explicit formal complaint and regulator escalation override the underlying withdrawal category.
M26,Malta,en,Bonuses & Promotions,bonus_max_bet_terms,,low,auto_respond,Promotions,,allowed_template,FAQ_BONUS_MAX_BET,False,static_bonus_terms_question,STATIC_BONUS_TERMS_FAQ,eligible,,established,,,,0,False,False,False,promotion_terms_version,Pure terms clarification suitable for an approved template.
M27,Malta,en,Payments & Withdrawals,withdrawal_timing_after_bonus,bonus_completed,low,auto_respond,Payments Operations,Promotions,allowed_template,FAQ_WITHDRAWAL_METHOD_TIMING,False,general_payment_timing;bonus_context;near_duplicate,STATIC_WITHDRAWAL_TIMING_FAQ,eligible,,established,,,,0,False,False,False,approved_withdrawal_timing_template,Near-duplicate of M12; classification should remain consistent.
M28,New Zealand,en,Responsible Gambling,deposit_limit_increase,,medium,specialist,Responsible Gambling,Market Compliance,acknowledgment_only,,True,deposit_limit_increase,RG_LIMIT_RELAXATION,bypass_deterministic,limit_relaxation_request,transitional,NZ_TRANSITIONAL_FRAMEWORK,,,0,False,False,False,active_limit;limit_change_history;applicable_waiting_period,Limit relaxation requires controlled handling and cannot be executed immediately by the prototype.
M29,Ontario,en,Technical & Game Issues,game_result_dispute,claimed_missing_win,high,specialist,Game Integrity,Payments Operations,acknowledgment_only,,True,game_disconnection;claimed_win;attachment_referenced;provider_investigation_requested,GAME_RESULT_DISPUTE;EVIDENCE_REFERENCED,eligible,,established,,,,0,False,True,False,game_round_id;provider_logs;wallet_events;evidence_reference,The message body is sufficient for routing. A screenshot is referenced but no attachment binary is present in the supplied dataset.
M30,India,en,Payments & Withdrawals,account_transaction_statement_request,,medium,human,Payments Operations,CRM & Privacy;Market Compliance,acknowledgment_only,,True,transaction_history_request;personal_data_export,ACCOUNT_STATEMENT_REQUEST;INDIA_MARKET_OVERLAY,eligible,,prohibited_market,INDIA_PROHIBITED_MARKET,,,0,False,False,False,transaction_history;identity_authorization;secure_delivery_method,Requires authorized retrieval and secure delivery of account transaction history.
M31,Malta,en,Complaints & Regulatory,repeated_withdrawal_complaint_escalation,withdrawal_delay,high,specialist,Complaints,Payments Operations,acknowledgment_only,,True,repeat_contact;no_response;prior_ticket;external_escalation_implied,FORMAL_COMPLAINT;REPEAT_CONTACT,eligible,,established,,M09,M09,1,False,False,False,related_contacts;withdrawal_status;first_contact_at;complaint_status,Second unresolved follow-up with escalation language is treated as a complaint.
M32,Ireland,en,Payments & Withdrawals,small_balance_discrepancy,,low,human,Payments Operations,,acknowledgment_only,,True,balance_discrepancy;low_amount,BALANCE_RECONCILIATION,eligible,,casino_applicability_unconfirmed,IRELAND_CASINO_APPLICABILITY_UNCONFIRMED,,,0,False,False,False,wallet_ledger;game_session_events;fees_or_rounding_rules,Low-value but account-specific balance issue requires ledger review.
M33,Malta,en,General,marketing_opt_out,,low,auto_respond,CRM & Privacy,,allowed_template,ACK_MARKETING_OPTOUT,False,marketing_opt_out;account_remains_active;no_harm_signal,MARKETING_OPTOUT_ONLY,bypass_deterministic,explicit_marketing_only_request,established,,,,0,False,False,False,marketing_preferences;approved_opt_out_template,Marketing suppression is distinct from self-exclusion and can use an approved template.
M34,Malta,en,Payments & Withdrawals,withdrawal_timing_after_bonus,bonus_completed,low,auto_respond,Payments Operations,Promotions,allowed_template,FAQ_WITHDRAWAL_METHOD_TIMING,False,general_payment_timing;bonus_context;near_duplicate,STATIC_WITHDRAWAL_TIMING_FAQ,eligible,,established,,,,0,False,False,False,approved_withdrawal_timing_template,Near-duplicate of M12/M27; classification should remain consistent.
M35,Ontario,en,Payments & Withdrawals,duplicate_card_charge,,high,specialist,Payments Operations,Fraud & Account Security,acknowledgment_only,,True,duplicate_charge;refund_requested;payment_reconciliation,DUPLICATE_CHARGE_REVIEW,eligible,,established,,,,0,False,False,False,payment_authorization_events;capture_events;wallet_credit_events,Duplicate charge requires payment reconciliation; fraud is secondary only if authorization is disputed.
M36,Malta,en,General,account_reopen_review,,high,specialist,Responsible Gambling,KYC Operations,acknowledgment_only,,True,prior_closure_reason_unknown;possible_self_exclusion;reopen_requested,ACCOUNT_REOPEN_REASON_UNKNOWN,bypass_deterministic,account_reopen_reason_unknown,established,,,,0,False,False,False,original_closure_reason;self_exclusion_history;identity_verification_status,A deterministic safeguard routes reopening for specialist review until the original closure reason is checked.
M37,New Zealand,en,Bonuses & Promotions,loyalty_points_expiry,,low,auto_respond,Promotions,,allowed_template,FAQ_LOYALTY_POINTS_EXPIRY,False,static_loyalty_terms_question,STATIC_LOYALTY_FAQ,eligible,,transitional,NZ_TRANSITIONAL_FRAMEWORK,,,0,False,False,False,loyalty_terms_version,Pure loyalty-program information suitable for an approved template.
M38,Ireland,en,KYC & Verification,identity_document_upload_failure,,medium,human,KYC Operations,Technical Support,acknowledgment_only,,True,passport_referenced;upload_error;large_file;identity_data_sensitive,KYC_UPLOAD_TECHNICAL_REVIEW;IDENTITY_DOCUMENT_REFERENCED,eligible,,casino_applicability_unconfirmed,IRELAND_CASINO_APPLICABILITY_UNCONFIRMED,,,0,False,False,True,upload_size_limit;supported_file_types;kyc_upload_status,The text describes an upload failure; no passport image binary is included in the supplied dataset.
M39,India,en,Bonuses & Promotions,cashback_amount_dispute,,medium,human,Promotions,Payments Operations;Market Compliance,acknowledgment_only,,True,cashback_discrepancy;account_specific,CASHBACK_CALCULATION_REVIEW;INDIA_MARKET_OVERLAY,eligible,,prohibited_market,INDIA_PROHIBITED_MARKET,,,0,False,False,False,cashback_terms_version;eligible_activity;calculation_breakdown,Cashback calculation requires account review; India status is a separate overlay.
M40,Malta,en,General,compliment_no_action,,low,auto_respond,General Support,,allowed_template,ACK_COMPLIMENT,False,compliment;no_action_requested,COMPLIMENT_ACKNOWLEDGMENT,eligible,,established,,,,0,False,False,False,approved_compliment_template,Safe thank-you acknowledgment; no account action required.
